  Order ID     Order Date    Order Priority Order Quantity     Sales       Ship Mode     Shipping Cost         Province          Customer Segment    Product Category      Product Sub-Category      Product Container    Ship Date
   56101        7/18/2017    Not Specified        44          5721.43     Regular Air         21.4              Ontario             Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        7/21/2017
   29349        6/9/2017          High            33           173.76     Regular Air          6                Quebec            Small Business     Office Supplies               Paper                 Small Box        6/11/2017
    3205        4/10/2019         Low              8           146.17     Regular Air          4                Quebec               Consumer           Furniture           Office Furnishings           Small Pack       4/10/2019
   19556       12/29/2017    Not Specified        22         1211.1651    Regular Air         5.2                Yukon               Consumer        Office Supplies               Paper                 Small Box        1/9/2018
   56420        7/23/2018         Low             48          5498.02     Regular Air         8.6               Alberta              Consumer           Technology     Telephones and Communication      Small Box        7/25/2018
   30151        1/28/2018    Not Specified        31           848.25     Regular Air         13.9              Quebec             Home Office       Office Supplies   Binders and Binder Accessorie     Small Box        1/30/2018
    2084        3/15/2017         High            16           741.22     Regular Air         18.7            Nova Scotia           Corporate        Office Supplies               Paper                 Small Box        3/17/2017
   18279        2/26/2016        Medium           20          11001.52    Regular Air         26.2              Alberta              Consumer           Technology            Copiers and Fax            Large Box        2/27/2016
   20037        1/10/2016         Low             49          16196.71   Delivery Truck       15.7            Saskachewan           Corporate           Technology            Office Machines            Jumbo Drum       1/15/2016
   49313        10/3/2016        Medium           36          1209.03     Regular Air         1.3               Ontario           Small Business        Technology     Telephones and Communication      Small Pack       10/4/2016
   57889        4/6/2017          Low             39          773.939     Regular Air         1.1                Yukon               Consumer           Technology     Telephones and Communication       Wrap Bag        4/10/2017
   31586        3/21/2019         Low             25          4697.331    Express Air         5.6             Saskachewan          Home Office          Technology     Telephones and Communication      Small Box        3/30/2019
    7367        6/4/2018          Low             46           324.87     Regular Air         2.9            Newfoundland         Small Business        Technology         Computer Peripherals          Small Pack       6/11/2018
   39650        7/29/2017    Not Specified        10          1075.23    Delivery Truck       44.9              Ontario           Small Business        Furniture           Chairs & Chairmats           Jumbo Drum       8/1/2017
    7552        9/10/2019       Critical          49           628.85     Regular Air         3.4               Alberta             Corporate        Office Supplies   Scissors, Rulers and Trimmers     Small Pack       9/12/2019
   27460        5/11/2016    Not Specified        31           210.34     Regular Air         4.7              Manitoba             Corporate           Technology         Computer Peripherals          Small Pack       5/13/2016
   40871        9/12/2018    Not Specified        32           314.62     Regular Air          6         Prince Edward Island       Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        9/14/2018
    130         5/7/2019          High            23           253.01     Regular Air         10.1            Saskachewan           Corporate        Office Supplies      Storage & Organization         Small Box        5/10/2019
   43588        9/1/2019         Medium            6            21.9      Regular Air         1.2               Ontario            Home Office       Office Supplies               Paper                  Wrap Bag        9/2/2019
   31619        9/16/2016         Low             11           122.91     Regular Air         4.3                Yukon              Corporate        Office Supplies            Appliances               Small Box        9/23/2016
   39168        5/17/2019         High            30          322.4766    Regular Air         3.1               Ontario            Home Office       Office Supplies        Pens & Art Supplies          Small Pack       5/19/2019
   26949        8/14/2016       Critical          48           492.94     Regular Air         7.8               Quebec             Home Office          Furniture           Office Furnishings           Small Pack       8/16/2016
   34243        2/10/2018         High            10           95.27      Regular Air         9.1          British Columbia        Home Office          Furniture           Office Furnishings           Small Pack       2/12/2018
   35043        7/18/2017    Not Specified         9           988.8      Regular Air         8.6             Saskachewan          Home Office          Technology     Telephones and Communication      Small Box        7/19/2017
   46469        8/15/2016       Critical          18           99.79      Regular Air          5                Alberta             Corporate        Office Supplies               Paper                 Small Box        8/17/2016
    2247        8/1/2019     Not Specified         6          22614.14   Delivery Truck       9.3               Alberta           Small Business        Technology            Office Machines            Jumbo Box        8/3/2019
   36998        9/29/2019         Low              8           60.46      Regular Air         5.6               Alberta             Corporate        Office Supplies               Paper                 Small Box        10/1/2019
   57281        4/19/2017         High            26           600.98     Regular Air         16.2              Alberta             Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        4/19/2017
   43488        6/18/2019       Critical          46           820.01     Regular Air         1.5               Quebec             Home Office       Office Supplies             Envelopes               Small Box        6/19/2019
   21922       11/10/2016         High            49           168.49     Regular Air          1                Ontario             Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag       11/12/2016
   15170        3/17/2016       Critical          19           381.42     Regular Air         5.1               Ontario             Corporate           Technology     Telephones and Communication      Medium Box       3/17/2016
   23202        7/29/2018         High            48           650.87     Regular Air         6.2               Ontario           Small Business     Office Supplies        Pens & Art Supplies          Small Pack       7/31/2018
    6531        7/16/2017         High            42          201.4061    Regular Air         5.5                Yukon             Home Office       Office Supplies            Appliances               Small Box        7/18/2017
   25824        9/3/2016         Medium            6           543.09     Regular Air         5.2               Alberta             Corporate           Technology     Telephones and Communication      Small Box        9/5/2016
   26306       10/30/2019         Low             15          2747.37     Regular Air         73.8              Quebec              Corporate           Furniture                 Tables                 Large Box        11/4/2019
   11493       10/19/2018       Critical          16           119.73     Regular Air         1.3               Ontario           Small Business     Office Supplies        Pens & Art Supplies           Wrap Bag       10/21/2018
   14402       10/13/2017        Medium            1           197.37    Delivery Truck       32.1              Ontario           Small Business        Furniture           Chairs & Chairmats           Jumbo Drum      10/15/2017
   27298       11/18/2018         Low             40          8360.66     Regular Air         26.2         British Columbia       Small Business        Technology            Copiers and Fax            Large Box       11/22/2018
   10886        8/22/2016       Critical          47          6153.51    Delivery Truck       60.1           New Brunswick          Corporate           Technology            Office Machines            Jumbo Box        8/23/2016
   35813        4/20/2016       Critical          21           167.25     Express Air         4.3              Manitoba             Corporate           Furniture           Office Furnishings            Wrap Bag        4/20/2016
   35239       11/11/2018       Critical          38          2415.93     Regular Air         10.4         British Columbia       Small Business     Office Supplies      Storage & Organization         Small Box       11/13/2018
   34691        1/14/2016       Critical          23          7707.15    Delivery Truck       28.4              Ontario           Small Business        Technology            Office Machines            Jumbo Drum       1/14/2016
    2374       10/27/2017    Not Specified        21           83.64      Express Air         5.8               Quebec               Consumer        Office Supplies   Binders and Binder Accessorie     Small Box       10/29/2017
    1542        9/13/2017        Medium           47          2300.77     Regular Air         4.3              Manitoba              Consumer        Office Supplies            Appliances               Small Box        9/15/2017
    7585        5/18/2018         High            34          695.6493    Regular Air         1.3               Alberta              Consumer           Technology     Telephones and Communication      Small Pack       5/20/2018
   20448        8/1/2018        Critical          23           112.16     Express Air         2.7          British Columbia         Corporate        Office Supplies             Envelopes               Small Box        8/2/2018
   19075        9/25/2016       Critical          36          1970.51     Regular Air          7              Saskachewan          Home Office          Technology         Computer Peripherals          Small Box        9/26/2016
   14401        8/3/2018     Not Specified        10           996.33     Regular Air         2.7               Quebec            Small Business        Technology     Telephones and Communication      Small Box        8/5/2018
   49799        8/23/2016         High             4          1728.02    Delivery Truck       91.6             Manitoba            Home Office          Furniture                 Tables                 Jumbo Box        8/25/2016
    1057        2/18/2019       Critical          41           365.26     Regular Air         3.9               Ontario             Corporate           Technology         Computer Peripherals          Small Pack       2/20/2019
   31873        11/7/2016         Low              2           151.5      Regular Air         3.7               Ontario            Home Office       Office Supplies            Appliances               Small Box       11/12/2016
   31876        5/6/2018          High             8           793.39     Regular Air         37.5            Saskachewan           Corporate        Office Supplies      Storage & Organization         Large Box        5/7/2018
   53863        6/2/2017          High            46          8353.97     Express Air         21.4         British Columbia        Home Office       Office Supplies      Storage & Organization         Small Box        6/5/2017
   10432        1/4/2019          Low             13            2486      Regular Air         21.4         British Columbia         Corporate           Technology         Computer Peripherals          Small Box        1/11/2019
   15524        5/11/2019        Medium           27          167.7974    Regular Air         3.9             Saskachewan            Consumer        Office Supplies   Scissors, Rulers and Trimmers     Small Pack       5/12/2019
   26660        3/18/2019        Medium            1          10.9461     Regular Air         2.2               Quebec             Home Office       Office Supplies               Paper                  Wrap Bag        3/18/2019
   10528        9/12/2016        Medium           47           897.09     Express Air         10.1            Saskachewan           Corporate        Office Supplies      Storage & Organization         Small Box        9/14/2016
   29411        4/6/2019          High            38          16237.2    Delivery Truck       51.6              Ontario             Corporate           Technology            Office Machines            Jumbo Box        4/6/2019
   25633        7/31/2018         Low             36          5499.89    Delivery Truck       55.6         British Columbia        Home Office          Furniture                 Tables                 Jumbo Box        8/5/2018
   42563        8/11/2017        Medium            7           47.35      Express Air         5.8          British Columbia         Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        8/11/2017
    1412        3/11/2017    Not Specified        13           63.16      Express Air         0.5               Nunavut              Consumer        Office Supplies              Labels                 Small Box        3/13/2017
   10373        6/24/2017       Critical          28           206.68     Regular Air         7.1               Ontario              Consumer        Office Supplies               Paper                 Small Box        6/26/2017
    8450        4/13/2019    Not Specified        24          1398.49     Regular Air         1.1             Saskachewan          Home Office       Office Supplies            Appliances               Small Box        4/15/2019
   35173        3/13/2019    Not Specified        13          1547.44     Regular Air         8.6               Alberta             Corporate           Technology     Telephones and Communication      Small Box        3/15/2019
   40420        1/9/2018          High            50          948.4084    Regular Air         1.1          British Columbia         Corporate           Technology     Telephones and Communication       Wrap Bag        1/11/2018
   16545        5/8/2017     Not Specified        10           54.54      Regular Air         0.8        Northwest Territories    Small Business     Office Supplies        Pens & Art Supplies           Wrap Bag        5/10/2017
   21894       12/17/2018       Critical           6            58.1      Regular Air         2.2              Manitoba              Consumer        Office Supplies               Paper                  Wrap Bag       12/19/2018
   27559       10/29/2018         High            38           498.51     Regular Air         5.2             Nova Scotia          Home Office       Office Supplies               Paper                 Small Box       10/30/2018
   49216        3/18/2016         High            28           103.48     Regular Air         4.2               Ontario            Home Office       Office Supplies        Pens & Art Supplies           Wrap Bag        3/18/2016
    2532        10/9/2018         High            39           301.81     Regular Air         0.5               Nunavut             Corporate        Office Supplies              Labels                 Small Box       10/10/2018
   16771        9/27/2016         High            42          1858.65     Regular Air         9.8               Ontario             Corporate           Furniture           Office Furnishings            Wrap Bag        9/29/2016
   38274        6/9/2018          High            10           518.11     Express Air         1.3               Ontario              Consumer           Technology     Telephones and Communication      Small Pack       6/10/2018
   54528        1/3/2018         Medium           17           221.69     Regular Air         9.6        Northwest Territories       Consumer        Office Supplies        Pens & Art Supplies          Small Pack       1/5/2018
   31941        3/17/2016        Medium            7          57.2985     Regular Air         10.4         British Columbia       Small Business     Office Supplies               Paper                 Small Box        3/19/2016
   39364        11/9/2019         High            15          20776.78    Regular Air         21.4       Northwest Territories      Corporate        Office Supplies   Binders and Binder Accessorie     Small Box       11/11/2019
    7078        4/10/2017         High             9           119.97     Regular Air         6.5               Alberta             Corporate        Office Supplies            Appliances               Medium Box       4/12/2017
    1059        2/26/2016       Critical          22          136.2431    Regular Air         3.2               Ontario             Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        2/28/2016
   53574        4/9/2019         Medium            8          716.5683    Regular Air         37.5              Ontario             Corporate        Office Supplies      Storage & Organization         Large Box        4/10/2019
   16450        5/14/2018        Medium           12           78.65      Regular Air         2.7               Ontario           Small Business     Office Supplies             Envelopes               Small Box        5/14/2018
   26756        5/10/2019        Medium           20           136.85     Regular Air         7.9          British Columbia        Home Office       Office Supplies               Paper                 Small Box        5/12/2019
   24740        1/9/2017         Medium           11          1167.87     Regular Air         42.4              Quebec              Corporate           Furniture           Office Furnishings           Medium Box       1/10/2017
   23205        5/23/2016         High            32           281.83     Express Air          3                Ontario              Consumer           Technology         Computer Peripherals          Small Pack       5/24/2016
   36737        3/14/2017    Not Specified        26          1564.51     Regular Air         6.4            Newfoundland            Consumer           Technology     Telephones and Communication      Small Box        3/15/2017
    1825        12/3/2017        Medium           22           40.94      Regular Air         0.7               Quebec            Small Business     Office Supplies        Pens & Art Supplies           Wrap Bag        12/5/2017
   32710       11/15/2016         High            43           578.15     Regular Air         6.7              Manitoba             Corporate        Office Supplies      Storage & Organization         Medium Box      11/16/2016
   10272        1/17/2016        Medium            3           320.02     Regular Air         21.4             Manitoba             Corporate        Office Supplies             Envelopes               Small Box        1/19/2016
   20615        4/15/2019        Medium           29           161.67     Express Air         3.2                Yukon             Home Office       Office Supplies               Paper                  Wrap Bag        4/16/2019
    3172        6/2/2019     Not Specified        33           625.43     Regular Air         3.5               Alberta              Consumer           Technology     Telephones and Communication      Small Pack       6/4/2019
   21344        12/9/2019         Low             39           118.55     Regular Air         0.5               Quebec              Corporate        Office Supplies              Labels                 Small Box       12/18/2019
    4515        3/16/2019       Critical           7           950.1      Regular Air         7.6               Quebec               Consumer           Technology            Office Machines            Medium Box       3/17/2019
    7552        9/10/2019       Critical          47          1504.94     Regular Air         6.6               Alberta             Corporate        Office Supplies        Pens & Art Supplies          Small Pack       9/12/2019
    549         7/12/2019       Critical          30          1231.44     Express Air         37.5              Ontario              Consumer        Office Supplies      Storage & Organization         Large Box        7/12/2019
   58151        9/28/2016         High            38          5993.177    Express Air         21.4              Quebec             Home Office       Office Supplies      Storage & Organization         Small Box        9/28/2016
   43940        2/20/2017       Critical          44          1837.41     Regular Air         9.6               Quebec               Consumer        Office Supplies        Pens & Art Supplies          Small Pack       2/21/2017
   15109       12/13/2017    Not Specified        33           94.91      Regular Air         4.6              Manitoba            Home Office       Office Supplies        Pens & Art Supplies           Wrap Bag       12/15/2017
   24801       11/15/2019         High            10          1095.86     Regular Air         6.4               Alberta            Home Office          Technology     Telephones and Communication      Small Box       11/16/2019
   18375        9/21/2018         Low             20           82.27      Regular Air         0.5               Quebec            Small Business     Office Supplies              Labels                 Small Box        9/25/2018
   44647        1/23/2019         Low             47          24866.76   Delivery Truck       27.8              Quebec              Corporate           Furniture           Chairs & Chairmats           Jumbo Drum       1/23/2019
    7398        5/31/2016    Not Specified        34          2334.14     Regular Air         37.5              Alberta             Corporate        Office Supplies      Storage & Organization         Large Box        6/2/2016
   35940        5/26/2017       Critical          47           146.19     Regular Air         5.7            New Brunswick           Consumer        Office Supplies              Labels                 Small Box        5/29/2017
   27622        2/5/2018         Medium            4          1370.38    Delivery Truck       46.6              Quebec               Consumer           Furniture                 Tables                 Jumbo Box        2/6/2018
   33123       11/23/2017        Medium           41           6469.2    Delivery Truck       70.9       Northwest Territories      Corporate           Furniture                Bookcases               Jumbo Box       11/25/2017
   44583        10/3/2016         Low             21           337.12     Regular Air         5.7               Quebec              Corporate           Furniture           Office Furnishings            Wrap Bag        10/5/2016
    5828        3/4/2016          Low             21          6425.57    Delivery Truck       57.9           New Brunswick         Home Office          Furniture                 Tables                 Jumbo Box        3/11/2016
   35430        3/24/2017         Low             48           142.77     Regular Air          1                Ontario            Home Office       Office Supplies        Pens & Art Supplies           Wrap Bag        3/28/2017
   44261        3/23/2019         High            10           328.13     Regular Air         6.4          British Columbia         Corporate           Technology     Telephones and Communication       Wrap Bag        3/26/2019
   47813        8/26/2016         High            50           367.01     Regular Air         6.1             Nova Scotia          Home Office       Office Supplies               Paper                 Small Box        8/28/2016
   21573        4/25/2019       Critical          31           102.97     Regular Air         1.1               Ontario             Corporate        Office Supplies              Labels                 Small Box        4/27/2019
    2305        1/24/2017         High            33          3334.62    Delivery Truck       61.4         British Columbia        Home Office          Furniture                Bookcases               Jumbo Box        1/26/2017
   49504       11/15/2016    Not Specified        45           341.27     Regular Air         5.9             Saskachewan            Consumer           Technology         Computer Peripherals          Small Pack      11/15/2016
   55462        3/27/2019        Medium           35         3941.5911    Regular Air         9.6              Manitoba            Home Office          Technology     Telephones and Communication      Small Box        3/28/2019
   17735        7/12/2019         Low             28           108.27     Regular Air         0.8               Ontario              Consumer        Office Supplies           Rubber Bands               Wrap Bag        7/17/2019
   11651        2/21/2018        Medium           19          70.4595     Express Air          1                Alberta           Small Business     Office Supplies        Pens & Art Supplies           Wrap Bag        2/23/2018
   40327        5/12/2018        Medium           42           163.23     Regular Air         2.7        Prince Edward Island       Corporate        Office Supplies             Envelopes               Small Box        5/14/2018
   14023        2/19/2017    Not Specified        36           760.88     Regular Air         3.2               Ontario             Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        2/21/2017
   21378        8/6/2018         Medium           17           1729.8     Regular Air         21.4       Prince Edward Island       Corporate           Technology         Computer Peripherals          Small Box        8/9/2018
    2914        3/1/2017         Medium            3           67.28      Regular Air         10.2               Yukon               Consumer        Office Supplies               Paper                 Small Box        3/2/2017
   37828        4/19/2018         Low             42           220.63     Regular Air         0.5               Ontario             Corporate        Office Supplies              Labels                 Small Box        4/21/2018
    645         12/1/2016         High            42           596.9      Regular Air         5.3        Prince Edward Island        Consumer        Office Supplies   Binders and Binder Accessorie     Small Box        12/3/2016
    8131        5/2/2017        Critical          24           767.5      Regular Air         2.1        Prince Edward Island      Home Office          Technology         Computer Peripherals          Small Pack       5/2/2017
    7653        2/26/2019        Medium           32          1524.81     Regular Air         5.4              Manitoba              Consumer        Office Supplies               Paper                 Small Box        3/1/2019
    4774        4/18/2017        Medium            4           135.75     Regular Air         5.9              Manitoba             Corporate           Technology         Computer Peripherals          Small Box        4/19/2017
   44065        7/2/2017          Low             23          2048.15    Delivery Truck        36               Quebec            Small Business        Technology            Office Machines            Jumbo Drum       7/9/2017
   55747        12/2/2019         High            36          18790.22   Delivery Truck       27.8              Ontario           Small Business        Furniture           Chairs & Chairmats           Jumbo Drum       12/3/2019
   22368        2/18/2017        Medium           34           2983.2     Regular Air         37.5            Nova Scotia            Consumer        Office Supplies      Storage & Organization         Large Box        2/19/2017
   12420       12/25/2017        Medium            1            6.13      Regular Air         0.9             Saskachewan          Home Office       Office Supplies               Paper                  Wrap Bag       12/26/2017
   29410        9/16/2016       Critical          36          6481.28     Regular Air         4.5               Ontario             Corporate           Technology     Telephones and Communication      Small Box        9/18/2016
   39717       11/27/2016         High            20           893.96     Regular Air         17.5            Saskachewan           Corporate        Office Supplies      Storage & Organization         Small Box       11/29/2016
   49600        3/6/2018          Low             33          1810.47     Regular Air         11.5             Manitoba            Home Office       Office Supplies               Paper                 Small Box        3/11/2018
    1762        8/18/2016    Not Specified        29           917.11     Regular Air         2.1               Alberta            Home Office          Technology         Computer Peripherals          Small Pack       8/20/2016
   10340        6/21/2018         High            15           333.82     Regular Air         5.9               Ontario            Home Office       Office Supplies        Pens & Art Supplies          Small Pack       6/24/2018
   55042        12/7/2018         High            28          1838.13     Express Air         4.8              Manitoba            Home Office       Office Supplies            Appliances               Small Box        12/9/2018
   43682        8/27/2019        Medium           14          1979.07     Regular Air         9.6          British Columbia         Corporate           Technology     Telephones and Communication      Small Box        8/29/2019
   57666        5/21/2016    Not Specified        44          1007.93    Delivery Truck       56.7              Quebec            Small Business     Office Supplies      Storage & Organization         Jumbo Drum       5/21/2016
   37859        3/29/2016       Critical           2           31.06      Regular Air         5.4               Quebec            Small Business     Office Supplies               Paper                 Small Box        3/31/2016
   24067        8/22/2019         High            19            129       Regular Air          8         Prince Edward Island       Corporate        Office Supplies               Paper                 Small Box        8/23/2019
   35137        7/16/2017         High            41           240.81     Express Air         3.2              Manitoba            Home Office       Office Supplies   Binders and Binder Accessorie     Small Box        7/18/2017
   41059        9/13/2017        Medium           21           137.88     Express Air         1.3               Ontario             Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag        9/15/2017
   48416        7/5/2016     Not Specified        23           179.4      Regular Air         5.3               Alberta           Small Business     Office Supplies               Paper                 Small Box        7/7/2016
   21989        2/9/2018          Low              9           127.28     Regular Air         6.6               Ontario            Home Office          Furniture           Office Furnishings            Wrap Bag        2/9/2018
   12676        1/15/2016         High            25           215.13     Express Air         8.5             Saskachewan          Home Office          Furniture           Office Furnishings           Small Box        1/16/2016
   20773        3/4/2016     Not Specified        44          513.5572    Regular Air         3.2              Manitoba            Home Office       Office Supplies   Binders and Binder Accessorie     Small Box        3/5/2016
   16897        6/15/2019    Not Specified         1           406.39    Delivery Truck       63.1              Ontario              Consumer           Furniture           Chairs & Chairmats           Jumbo Drum       6/17/2019
   34211        2/12/2019    Not Specified        15           146.04     Regular Air         1.2               Ontario           Small Business     Office Supplies        Pens & Art Supplies           Wrap Bag        2/15/2019
   12452        12/6/2017        Medium           17           120.76     Regular Air         4.4               Ontario             Corporate           Technology         Computer Peripherals          Small Pack       12/8/2017
   37891       10/19/2018         High            33          5514.79     Regular Air          15               Ontario           Small Business        Technology     Telephones and Communication      Medium Box      10/21/2018
   33219        12/9/2018         High            32           7855.9    Delivery Truck       68.7              Ontario              Consumer           Furniture           Chairs & Chairmats           Jumbo Drum      12/10/2018
   43488        6/18/2019       Critical           3          1384.95     Regular Air         26.2              Quebec             Home Office          Technology            Copiers and Fax            Large Box        6/20/2019
   43936        3/12/2017       Critical          42           717.6      Regular Air         5.8             Saskachewan            Consumer        Office Supplies        Pens & Art Supplies          Small Pack       3/13/2017
   24965        3/28/2018         Low             42         1226.3377    Regular Air         9.1        Prince Edward Island       Corporate           Furniture           Office Furnishings           Small Box        3/28/2018
    1764        3/24/2019       Critical           7           64.19      Regular Air         5.2               Alberta           Small Business     Office Supplies               Paper                 Small Box        3/27/2019
   12486        2/19/2018         High            42          1811.04     Regular Air         7.7                Yukon              Corporate        Office Supplies            Appliances               Small Box        2/20/2018
   30278        9/29/2016         Low             50           3061.2     Regular Air         5.6            New Brunswick         Home Office          Technology     Telephones and Communication      Small Box        10/8/2016
   39136        6/23/2016         High            49          2882.06     Regular Air         4.3          British Columbia         Corporate           Technology     Telephones and Communication      Small Box        6/25/2016
   37440        6/22/2017    Not Specified        39          8995.58    Delivery Truck       72.8              Alberta             Corporate        Office Supplies            Appliances               Jumbo Drum       6/23/2017
   42209        3/28/2017         High             5           347.27     Regular Air         1.1        Northwest Territories      Corporate        Office Supplies            Appliances               Small Box        3/28/2017
   24386        6/26/2019         High            15           82.33      Express Air         1.1              Manitoba             Corporate        Office Supplies              Labels                 Small Box        6/27/2019
   36038        8/16/2019         High            26           101.93     Regular Air         5.4               Alberta            Home Office       Office Supplies        Pens & Art Supplies           Wrap Bag        8/18/2019
   33126       11/11/2018       Critical          28           188.06     Regular Air         0.5          British Columbia       Small Business     Office Supplies              Labels                 Small Box       11/13/2018
   14119        5/30/2017         Low             31          1036.01     Regular Air         5.4               Ontario            Home Office          Technology     Telephones and Communication      Small Box        6/1/2017
   51044        1/17/2019         Low             17           166.8      Regular Air         1.5              Manitoba              Consumer        Office Supplies             Envelopes               Small Box        1/17/2019
   31233        9/23/2018         Low             41          1389.17     Regular Air         2.1                Yukon             Home Office          Technology         Computer Peripherals          Small Pack       9/27/2018
   29666       12/29/2018    Not Specified        44           388.14     Regular Air         2.5               Ontario           Small Business        Technology         Computer Peripherals          Small Pack      12/31/2018
   25830        5/5/2017          Low              5           27.11      Regular Air         7.4          British Columbia          Consumer        Office Supplies            Appliances               Small Box        5/5/2017
   26144       10/25/2018         High            28           81.04      Regular Air         1.1             Saskachewan         Small Business     Office Supplies              Labels                 Small Box       10/26/2018
   44614        6/13/2017         Low             27           749.37     Regular Air         6.3               Ontario             Corporate           Technology         Computer Peripherals          Small Box        6/22/2017
   29090        1/15/2019        Medium           36           406.96     Regular Air         7.4                Yukon               Consumer        Office Supplies      Storage & Organization         Small Box        1/15/2019
   29927        11/7/2019         High            19           276.03     Regular Air         5.3               Ontario             Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        11/8/2019
   24132        7/5/2016          Low             46          355.0581    Regular Air         6.5          British Columbia         Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        7/5/2016
   33479        9/18/2019       Critical          24           173.2      Regular Air         5.5              Manitoba            Home Office       Office Supplies               Paper                 Small Box        9/20/2019
   45218        5/9/2016          Low             49           331.12     Regular Air         2.9               Ontario            Home Office          Technology         Computer Peripherals          Small Pack       5/11/2016
   46018        8/10/2016        Medium           31          2993.23    Delivery Truck        15             Saskachewan          Home Office          Technology            Office Machines            Jumbo Drum       8/11/2016
   12096        9/19/2019        Medium           46          8570.264    Regular Air         8.6        Northwest Territories     Home Office          Technology     Telephones and Communication      Small Box        9/19/2019
   30403        7/10/2019         High            24         3834.3664    Regular Air         21.4              Alberta            Home Office       Office Supplies      Storage & Organization         Small Box        7/11/2019
   29317        10/1/2018    Not Specified        40           8334.9    Delivery Truck       25.4              Alberta             Corporate           Furniture           Chairs & Chairmats           Jumbo Drum       10/3/2018
   33761        8/4/2019          High            45           496.41     Regular Air         3.1               Quebec             Home Office       Office Supplies        Pens & Art Supplies          Small Pack       8/5/2019
    4134        1/10/2018       Critical          48         6851.6273   Delivery Truck       58.6               Yukon            Small Business        Furniture                Bookcases               Jumbo Box        1/12/2018
   40321        6/22/2017         High            18          792.3243    Regular Air         6.7             Saskachewan            Consumer        Office Supplies      Storage & Organization         Small Box        6/23/2017
   14274        1/6/2016     Not Specified        46          1512.86     Express Air          15             Saskachewan            Consumer        Office Supplies      Storage & Organization         Medium Box       1/8/2016
    3493        8/22/2017         High            48          8044.39     Regular Air          7             New Brunswick         Home Office          Technology         Computer Peripherals          Small Box        8/24/2017
   44261        3/23/2019         High             1          3595.52    Delivery Truck       9.3          British Columbia         Corporate           Technology            Office Machines            Jumbo Box        3/24/2019
   52068        1/12/2019    Not Specified        31           174.7      Regular Air         3.2             Saskachewan           Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        1/12/2019
   37765       11/24/2019         Low             18           701.47     Regular Air         5.4             Saskachewan            Consumer        Office Supplies               Paper                 Small Box       11/28/2019
    1285        5/31/2019       Critical          27          4145.31    Delivery Truck       58.6            Nova Scotia           Corporate           Furniture                Bookcases               Jumbo Box        5/31/2019
   31111        8/23/2016    Not Specified        27           233.19     Regular Air         6.2        Northwest Territories      Corporate        Office Supplies               Paper                  Wrap Bag        8/25/2016
   35047        6/8/2017         Medium           31           158.54     Regular Air         0.7        Northwest Territories     Home Office       Office Supplies           Rubber Bands               Wrap Bag        6/10/2017
   28995        5/11/2017         High            34           714.06     Regular Air         9.3        Prince Edward Island       Corporate        Office Supplies               Paper                 Small Box        5/12/2017
   45635        4/7/2019          Low             50          2159.99     Regular Air         2.1               Ontario             Corporate           Technology         Computer Peripherals          Small Pack       4/16/2019
   12868        2/28/2018       Critical          31           57.06      Regular Air         0.7               Quebec               Consumer        Office Supplies        Pens & Art Supplies           Wrap Bag        3/1/2018
   21319        4/28/2017        Medium           42          1134.56    Delivery Truck       16.8            Nova Scotia            Consumer           Furniture           Office Furnishings           Jumbo Drum       4/29/2017
   27969        6/7/2017          Low              9          784.0104    Regular Air         6.6                Yukon             Home Office          Technology         Computer Peripherals          Small Box        6/11/2017
   10945        1/2/2019         Medium           14          1251.93     Regular Air         9.6        Northwest Territories       Consumer           Technology     Telephones and Communication      Small Box        1/4/2019
   12900        5/2/2017          High            50           671.02     Regular Air         5.3            New Brunswick          Corporate           Furniture           Office Furnishings           Small Pack       5/3/2017
    7078        4/10/2017         High            29           498.11     Express Air         9.6               Alberta             Corporate           Furniture           Office Furnishings           Small Pack       4/11/2017
   38240       12/18/2016         High            42          1766.64     Regular Air          7           British Columbia          Consumer           Technology         Computer Peripherals          Small Box       12/20/2016
   56420        7/23/2018         Low             16           639.26     Regular Air         4.8               Alberta              Consumer        Office Supplies            Appliances               Small Box        7/27/2018
   21286        5/15/2016       Critical          17           300.02     Express Air         7.2                Yukon            Small Business     Office Supplies            Appliances               Medium Box       5/16/2016
